"YYYYMM","V41755375"
2013M06,122.8
2013M07,122.9
2013M08,122.9
2013M09,123.1
2013M10,122.8
2013M11,122.8
2013M12,122.5
2014M01,122.9
2014M02,123.8
2014M03,124.5
2014M04,124.9
2014M05,125.5
2014M06,125.5
2014M07,125.3
2014M08,125.3
2014M09,125.4
2014M10,125.5
2014M11,125.0
2014M12,124.2
2015M01,123.9
2015M02,125.0
2015M03,125.9
2015M04,125.8
2015M05,126.5
2015M06, 
2015M07, 
2015M08, 
2015M09, 
2015M10, 
2015M11, 
2015M12, 
